                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.73485,                0.52587,                 1.0967,                0.82002,                0.83969,                0.85879,                0.61907,                    nan,                    nan,                    nan,              0.0010001,              0.0010001,              0.0010001
                    104,                0.73333,                0.52166,                 1.0991,                0.82825,                0.84733,                0.85934,                0.60484,                    nan,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                    105,                  0.735,                0.53747,                 1.0919,                0.85406,                0.80414,                 0.8527,                0.59691,                    nan,                    nan,                    nan,              0.0009803,              0.0009803,              0.0009803
                    106,                0.73505,                0.53195,                  1.097,                0.80917,                0.84733,                0.86215,                 0.6146,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                    107,                0.73258,                0.52383,                 1.0934,                 0.8304,                0.83969,                0.85796,                0.60503,                    nan,                    nan,                    nan,              0.0009605,              0.0009605,              0.0009605
                    108,                0.72779,                0.51441,                 1.0925,                 0.8472,                0.84733,                0.86593,                0.62835,                    nan,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                    109,                 0.7177,                0.51066,                 1.0908,                0.88127,                0.84351,                0.87392,                0.62176,                    nan,                    nan,                    nan,              0.0009407,              0.0009407,              0.0009407
                    110,                0.71836,                0.52091,                 1.0896,                0.88742,                0.85115,                0.86618,                0.62968,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                    111,                0.71977,                0.51966,                 1.0865,                0.87701,                0.81653,                0.87634,                0.63353,                    nan,                    nan,                    nan,              0.0009209,              0.0009209,              0.0009209
                    112,                0.71384,                0.51492,                 1.0814,                0.85932,                0.81679,                0.85596,                0.61097,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                    113,                0.71773,                0.51023,                 1.0838,                0.81927,                0.84781,                0.86064,                0.61431,                    nan,                    nan,                    nan,              0.0009011,              0.0009011,              0.0009011
                    114,                0.71739,                0.51336,                 1.0785,                0.89859,                0.77787,                0.86536,                0.62033,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                    115,                0.71003,                0.51594,                 1.0808,                0.84651,                0.82096,                0.85622,                0.60713,                    nan,                    nan,                    nan,              0.0008813,              0.0008813,              0.0008813
                    116,                0.71154,                0.50749,                 1.0823,                0.89643,                0.82593,                0.86778,                0.62525,                    nan,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                    117,                0.71712,                0.51406,                 1.0857,                0.85731,                0.83206,                0.85152,                0.62096,                    nan,                    nan,                    nan,              0.0008615,              0.0008615,              0.0008615
                    118,                0.70544,                0.50087,                 1.0727,                0.87704,                0.81679,                0.86146,                0.62115,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                    119,                0.69436,                0.49404,                 1.0657,                0.86842,                0.83206,                0.86908,                0.62734,                    nan,                    nan,                    nan,              0.0008417,              0.0008417,              0.0008417
